Change_ID,Timestamp,Requestor,Change_Type,Target_Requirement,Affected_Requirement
CHG-20250611-661413,2025-06-11T12:03:33.750433,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-DATA-001
CHG-20250611-661479,2025-06-11T12:04:39.340396,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-001
CHG-20250611-661538,2025-06-11T12:05:38.601482,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-002
CHG-20250611-661602,2025-06-11T12:06:42.240925,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-003
CHG-20250611-661659,2025-06-11T12:07:39.833979,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-004
CHG-20250611-661723,2025-06-11T12:08:43.975300,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-005
CHG-20250611-661795,2025-06-11T12:09:55.822158,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-DATA-002
CHG-20250611-661847,2025-06-11T12:10:47.653549,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-006
CHG-20250611-661912,2025-06-11T12:11:52.540397,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-007
CHG-20250611-661982,2025-06-11T12:13:02.022001,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-008
CHG-20250611-662055,2025-06-11T12:14:15.326490,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-009
CHG-20250611-662127,2025-06-11T12:15:27.627902,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-010
CHG-20250611-662200,2025-06-11T12:16:40.255954,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-011
CHG-20250611-662272,2025-06-11T12:17:52.859874,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-NFR-001
CHG-20250611-662323,2025-06-11T12:18:43.124098,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-012
CHG-20250611-662397,2025-06-11T12:19:57.114747,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-013
CHG-20250611-662471,2025-06-11T12:21:11.639664,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-014
CHG-20250611-662543,2025-06-11T12:22:23.674991,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-015
CHG-20250611-662617,2025-06-11T12:23:37.424520,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-016
CHG-20250611-662688,2025-06-11T12:24:48.273314,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-DATA-003
CHG-20250611-662737,2025-06-11T12:25:37.043422,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-017
CHG-20250611-662808,2025-06-11T12:26:48.180851,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-018
CHG-20250611-662883,2025-06-11T12:28:03.248596,Enter your name/role (Requestor) (brand): Aaron,Addition,N/A,REQ-FUNC-019
CHG-20250623-688808,2025-06-23T09:26:48.474488,brand,Addition,N/A,REQ-FUNC-020
CHG-20250623-688816,2025-06-23T09:26:56.442139,brand,Addition,N/A,REQ-FUNC-021
CHG-20250623-688822,2025-06-23T09:27:02.101797,brand,Addition,N/A,REQ-NFR-007
CHG-20250623-688831,2025-06-23T09:27:11.064284,brand,Addition,N/A,REQ-FUNC-022
CHG-20250623-688841,2025-06-23T09:27:21.343648,brand,Addition,N/A,REQ-FUNC-023
CHG-20250623-688849,2025-06-23T09:27:29.533548,brand,Addition,N/A,REQ-FUNC-024
CHG-20250623-688859,2025-06-23T09:27:39.256666,brand,Addition,N/A,REQ-FUNC-025
CHG-20250623-688866,2025-06-23T09:27:46.355038,brand,Addition,N/A,REQ-FUNC-026
CHG-20250623-688874,2025-06-23T09:27:54.722165,brand,Addition,N/A,REQ-FUNC-027
CHG-20250623-688882,2025-06-23T09:28:02.291215,brand,Addition,N/A,REQ-FUNC-028
CHG-20250623-688892,2025-06-23T09:28:12.137245,brand,Addition,N/A,REQ-FUNC-029
CHG-20250623-688908,2025-06-23T09:28:28.686693,brand,Addition,N/A,REQ-FUNC-030
CHG-20250623-688921,2025-06-23T09:28:41.674760,brand,Addition,N/A,REQ-FUNC-031
CHG-20250623-688929,2025-06-23T09:28:49.945235,brand,Addition,N/A,REQ-NFR-008
CHG-20250623-688938,2025-06-23T09:28:58.301468,brand,Addition,N/A,REQ-NFR-009
CHG-20250623-688947,2025-06-23T09:29:07.912095,brand,Addition,N/A,REQ-NFR-010
CHG-20250623-688958,2025-06-23T09:29:18.264829,brand,Addition,N/A,REQ-NFR-011
CHG-20250623-688967,2025-06-23T09:29:27.013710,brand,Addition,N/A,REQ-NFR-012
CHG-20250623-688977,2025-06-23T09:29:37.938685,brand,Addition,N/A,REQ-DATA-004
