ID,Parent_ID,Title,Description,Source_Doc,Verification_Method,Status,Created_Date,Modified_Date,System_Scope,Business_Value,Risk_Level,Owner,Dependencies,Test_ID,Implementation_Status
TRC-PRD-1,,Requirements Traceability System for FY.WB.Midway Logistics Platform,Comprehensive traceability system to track and manage requirements across the four integrated logistics systems,Product Requirements Document,Business Review,Draft,2024-01-15,2024-01-15,Cross-System,High,Medium,Product Manager,,TRC-TEST-001,Not Started
TRC-PRD-1.1,TRC-PRD-1,Cross-System Requirements Visibility,Provide complete visibility into requirements across all four logistics systems,Product Requirements Document,Metrics Analysis,Draft,2024-01-15,2024-01-15,Cross-System,High,Medium,Product Manager,TRC-PRD-1,TRC-TEST-002,Not Started
TRC-PRD-1.2,TRC-PRD-1,Multi-System Impact Analysis,Enable rapid assessment of change impacts across integrated logistics systems,Product Requirements Document,Performance Testing,Draft,2024-01-15,2024-01-15,Cross-System,High,Medium,Product Manager,TRC-PRD-1,TRC-TEST-003,Not Started
TRC-PRD-1.3,TRC-PRD-1,Regulatory Compliance Support,Support compliance requirements for financial and transportation regulations,Product Requirements Document,Compliance Review,Draft,2024-01-15,2024-01-15,Cross-System,High,Low,Compliance Officer,TRC-PRD-1,TRC-TEST-004,Not Started
UI-PAY-001,,Customer Registration Form,Customer registration form with fields for company information and contact details,Customer Payment Process Overview Video,UI Testing,Active,2024-01-15,2024-01-15,Payment System,High,Low,Frontend Team,,UI-TEST-001,Not Started
UI-PAY-002,,Customer Profile Dashboard,Main dashboard displaying customer profile information and account status,Customer Payment Process Overview Video,UI Testing,Active,2024-01-15,2024-01-15,Payment System,High,Low,Frontend Team,UI-PAY-001,UI-TEST-002,Not Started
UI-PAY-003,,Payment Method Selection,Interface for selecting and managing multiple payment methods,Customer Payment Process Overview Video,UI Testing,Active,2024-01-15,2024-01-15,Payment System,High,Medium,Frontend Team,UI-PAY-002,UI-TEST-003,Not Started
UI-PAY-004,,Credit Card Input Form,Secure form for entering credit card information with PCI DSS compliance,Customer Payment Process Overview Video,Security Testing,Active,2024-01-15,2024-01-15,Payment System,High,High,Frontend Team,UI-PAY-003,UI-TEST-004,Not Started
UI-PAY-005,,ACH Bank Account Form,Form for entering ACH bank account information for automated payments,Customer Payment Process Overview Video,Security Testing,Active,2024-01-15,2024-01-15,Payment System,High,High,Frontend Team,UI-PAY-003,UI-TEST-005,Not Started
UI-PAY-006,,Payment History Table,Table displaying payment transaction history with filtering and search,Customer Payment Process Overview Video,UI Testing,Active,2024-01-15,2024-01-15,Payment System,Medium,Low,Frontend Team,UI-PAY-002,UI-TEST-006,Not Started
UI-PAY-007,,Payment Status Indicators,Visual indicators showing payment status (pending processing completed failed),Customer Payment Process Overview Video,UI Testing,Active,2024-01-15,2024-01-15,Payment System,Medium,Low,Frontend Team,UI-PAY-006,UI-TEST-007,Not Started
UI-PAY-008,,Automated Payment Setup,Interface for configuring automated recurring payments,Customer Payment Process Overview Video,Integration Testing,Active,2024-01-15,2024-01-15,Payment System,Medium,Medium,Frontend Team,UI-PAY-005,UI-TEST-008,Not Started
UI-PAY-009,,Payment Confirmation Modal,Modal dialog confirming payment details before processing,Customer Payment Process Overview Video,UI Testing,Active,2024-01-15,2024-01-15,Payment System,High,Low,Frontend Team,UI-PAY-004,UI-TEST-009,Not Started
UI-PAY-010,,Payment Receipt Display,Display of payment receipt with transaction details and download option,Customer Payment Process Overview Video,UI Testing,Active,2024-01-15,2024-01-15,Payment System,Medium,Low,Frontend Team,UI-PAY-009,UI-TEST-010,Not Started
UI-LOAD-001,,Load Creation Form,Comprehensive form for creating new load bookings with all required details,Load Booking Video,UI Testing,Active,2024-01-15,2024-01-15,Load Booking System,High,Medium,Frontend Team,,UI-TEST-011,Not Started
UI-LOAD-002,,Load Details Display,Detailed view of load information including pickup delivery and cargo details,Load Booking Video,UI Testing,Active,2024-01-15,2024-01-15,Load Booking System,High,Low,Frontend Team,UI-LOAD-001,UI-TEST-012,Not Started
UI-LOAD-003,,Carrier Selection Interface,Interface for selecting carriers with filtering by location capacity and rating,Load Booking Video,UI Testing,Active,2024-01-15,2024-01-15,Load Booking System,High,Medium,Frontend Team,UI-LOAD-002,UI-TEST-013,Not Started
UI-LOAD-004,,Load Tracking Map,Interactive map showing real-time load location and delivery progress,Load Booking Video,Integration Testing,Active,2024-01-15,2024-01-15,Load Booking System,High,Medium,Frontend Team,UI-LOAD-002,UI-TEST-014,Not Started
UI-LOAD-005,,Load Status Timeline,Timeline view showing load progress through different stages,Load Booking Video,UI Testing,Active,2024-01-15,2024-01-15,Load Booking System,Medium,Low,Frontend Team,UI-LOAD-004,UI-TEST-015,Not Started
UI-LOAD-006,,Carrier Communication Panel,Interface for communicating with assigned carriers,Load Booking Video,Integration Testing,Active,2024-01-15,2024-01-15,Load Booking System,Medium,Medium,Frontend Team,UI-LOAD-003,UI-TEST-016,Not Started
UI-LOAD-007,,Load Search and Filter,Advanced search and filtering interface for finding loads,Load Booking Video,UI Testing,Active,2024-01-15,2024-01-15,Load Booking System,Medium,Low,Frontend Team,UI-LOAD-001,UI-TEST-017,Not Started
UI-LOAD-008,,Load Assignment Dashboard,Dashboard for managing load assignments and carrier matching,Load Booking Video,UI Testing,Active,2024-01-15,2024-01-15,Load Booking System,High,Medium,Frontend Team,UI-LOAD-003,UI-TEST-018,Not Started
UI-LOAD-009,,Delivery Confirmation Interface,Interface for confirming load delivery with proof of delivery upload,Load Booking Video,Integration Testing,Active,2024-01-15,2024-01-15,Load Booking System,High,Medium,Frontend Team,UI-LOAD-004,UI-TEST-019,Not Started
UI-LOAD-010,,Load Performance Metrics,Display of load performance metrics and KPIs,Load Booking Video,UI Testing,Active,2024-01-15,2024-01-15,Load Booking System,Medium,Low,Frontend Team,UI-LOAD-005,UI-TEST-020,Not Started
UI-INV-001,,Invoice Generation Interface,Interface for generating invoices from completed loads,Invoice Processing Video,UI Testing,Active,2024-01-15,2024-01-15,Invoice System,High,Medium,Frontend Team,,UI-TEST-021,Not Started
UI-INV-002,,Invoice Details Form,Detailed form for editing invoice information and line items,Invoice Processing Video,UI Testing,Active,2024-01-15,2024-01-15,Invoice System,High,Low,Frontend Team,UI-INV-001,UI-TEST-022,Not Started
UI-INV-003,,Invoice Approval Workflow,Interface for invoice approval workflow with multiple approval stages,Invoice Processing Video,Integration Testing,Active,2024-01-15,2024-01-15,Invoice System,High,Medium,Frontend Team,UI-INV-002,UI-TEST-023,Not Started
UI-INV-004,,Invoice Status Dashboard,Dashboard showing invoice status and approval progress,Invoice Processing Video,UI Testing,Active,2024-01-15,2024-01-15,Invoice System,Medium,Low,Frontend Team,UI-INV-003,UI-TEST-024,Not Started
UI-INV-005,,Invoice Delivery Options,Interface for selecting invoice delivery methods (email PDF portal),Invoice Processing Video,Integration Testing,Active,2024-01-15,2024-01-15,Invoice System,Medium,Medium,Frontend Team,UI-INV-002,UI-TEST-025,Not Started
UI-INV-006,,Payment Integration Display,Display showing payment status and integration with payment system,Invoice Processing Video,Integration Testing,Active,2024-01-15,2024-01-15,Invoice System,High,High,Frontend Team,UI-INV-004,UI-TEST-026,Not Started
UI-INV-007,,Invoice Search and Filter,Advanced search and filtering for invoice management,Invoice Processing Video,UI Testing,Active,2024-01-15,2024-01-15,Invoice System,Medium,Low,Frontend Team,UI-INV-001,UI-TEST-027,Not Started
UI-INV-008,,Invoice Template Management,Interface for managing invoice templates and customization,Invoice Processing Video,UI Testing,Active,2024-01-15,2024-01-15,Invoice System,Medium,Low,Frontend Team,UI-INV-002,UI-TEST-028,Not Started
UI-INV-009,,Invoice Reporting Dashboard,Dashboard for invoice reporting and analytics,Invoice Processing Video,UI Testing,Active,2024-01-15,2024-01-15,Invoice System,Medium,Low,Frontend Team,UI-INV-004,UI-TEST-029,Not Started
UI-INV-010,,Invoice Dispute Management,Interface for managing invoice disputes and resolutions,Invoice Processing Video,Integration Testing,Active,2024-01-15,2024-01-15,Invoice System,Medium,Medium,Frontend Team,UI-INV-003,UI-TEST-030,Not Started
UI-CARR-001,,Carrier Payment Dashboard,Main dashboard for carrier payment management and overview,Notchify Carrier Payment Video,UI Testing,Active,2024-01-15,2024-01-15,Carrier Payment System,High,Medium,Frontend Team,,UI-TEST-031,Not Started
UI-CARR-002,,Payment Calculation Display,Interface showing automated payment calculations with fee breakdown,Notchify Carrier Payment Video,UI Testing,Active,2024-01-15,2024-01-15,Carrier Payment System,High,Low,Frontend Team,UI-CARR-001,UI-TEST-032,Not Started
UI-CARR-003,,Fee Structure Management,Interface for configuring and managing carrier fee structures,Notchify Carrier Payment Video,UI Testing,Active,2024-01-15,2024-01-15,Carrier Payment System,Medium,Medium,Frontend Team,UI-CARR-002,UI-TEST-033,Not Started
UI-CARR-004,,Carrier Payment Methods,Interface for managing carrier payment methods and preferences,Notchify Carrier Payment Video,UI Testing,Active,2024-01-15,2024-01-15,Carrier Payment System,High,Medium,Frontend Team,UI-CARR-001,UI-TEST-034,Not Started
UI-CARR-005,,Payment Scheduling Interface,Interface for configuring payment schedules and automation,Notchify Carrier Payment Video,Integration Testing,Active,2024-01-15,2024-01-15,Carrier Payment System,Medium,Medium,Frontend Team,UI-CARR-004,UI-TEST-035,Not Started
UI-CARR-006,,Carrier Self-Service Portal,Self-service portal for carriers to view payments and update information,Notchify Carrier Payment Video,UI Testing,Active,2024-01-15,2024-01-15,Carrier Payment System,Medium,Medium,Frontend Team,UI-CARR-001,UI-TEST-036,Not Started
UI-CARR-007,,Payment History and Tracking,Interface for viewing carrier payment history and tracking,Notchify Carrier Payment Video,UI Testing,Active,2024-01-15,2024-01-15,Carrier Payment System,Medium,Low,Frontend Team,UI-CARR-006,UI-TEST-037,Not Started
UI-CARR-008,,Payment Approval Workflow,Interface for payment approval workflow and authorization,Notchify Carrier Payment Video,Integration Testing,Active,2024-01-15,2024-01-15,Carrier Payment System,High,Medium,Frontend Team,UI-CARR-002,UI-TEST-038,Not Started
UI-CARR-009,,Payment Reporting Dashboard,Dashboard for carrier payment reporting and analytics,Notchify Carrier Payment Video,UI Testing,Active,2024-01-15,2024-01-15,Carrier Payment System,Medium,Low,Frontend Team,UI-CARR-007,UI-TEST-039,Not Started
UI-CARR-010,,Multi-Currency Support Interface,Interface for handling multi-currency carrier payments,Notchify Carrier Payment Video,Integration Testing,Active,2024-01-15,2024-01-15,Carrier Payment System,Medium,High,Frontend Team,UI-CARR-004,UI-TEST-040,Not Started
API-AUTH-001,,Authentication Login Endpoint,POST /auth/login endpoint for user authentication with JWT token response,API Specification,API Testing,Active,2024-01-15,2024-01-15,Cross-System,High,High,Backend Team,,API-TEST-001,Not Started
API-AUTH-002,,JWT Token Validation,Bearer token authentication validation for all protected endpoints,API Specification,Security Testing,Active,2024-01-15,2024-01-15,Cross-System,High,High,Backend Team,API-AUTH-001,API-TEST-002,Not Started
API-AUTH-003,,Token Refresh Endpoint,Endpoint for refreshing expired JWT tokens,API Specification,API Testing,Active,2024-01-15,2024-01-15,Cross-System,High,Medium,Backend Team,API-AUTH-001,API-TEST-003,Not Started
API-USER-001,,User List Endpoint,GET /users endpoint with pagination and filtering support,API Specification,API Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Low,Backend Team,API-AUTH-002,API-TEST-004,Not Started
API-USER-002,,User Creation Endpoint,POST /users endpoint for creating new user accounts,API Specification,API Testing,Active,2024-01-15,2024-01-15,Cross-System,High,Medium,Backend Team,API-AUTH-002,API-TEST-005,Not Started
API-USER-003,,User Details Endpoint,GET /users/{id} endpoint for retrieving specific user information,API Specification,API Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Low,Backend Team,API-AUTH-002,API-TEST-006,Not Started
API-USER-004,,User Update Endpoint,PUT /users/{id} endpoint for updating user information,API Specification,API Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Medium,Backend Team,API-AUTH-002,API-TEST-007,Not Started
API-USER-005,,User Deletion Endpoint,DELETE /users/{id} endpoint for soft deleting users,API Specification,API Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Medium,Backend Team,API-AUTH-002,API-TEST-008,Not Started
API-WORKFLOW-001,,Workflow List Endpoint,GET /workflows endpoint with pagination and status filtering,API Specification,API Testing,Active,2024-01-15,2024-01-15,Cross-System,High,Low,Backend Team,API-AUTH-002,API-TEST-009,Not Started
