ID,Parent_ID,Title,Description,Source_Doc,Verification_Method,Status,Created_Date,Modified_Date
API-OPEN-1,,5. Error handling patterns,Let me know if you'd like to see specific additional sections or have any questions about the curren...,OpenAPI Specification,Review,Active,2025-05-26,2025-05-26
API-OPEN-2,,5. Error handling patterns,Let me know if you'd like me to expand any particular section or add more endpoints.,OpenAPI Specification,Review,Active,2025-05-26,2025-05-26
API-OPEN-3,,7. Security requirements,Would you like me to add any additional endpoints or expand any particular section?,OpenAPI Specification,Review,Active,2025-06-02,2025-06-02
DB-SCHEMA-1,,Products Table,- Price and stock validation,Database Schema,Review,Active,2025-05-26,2025-05-26
DB-SCHEMA-2,,Orders Table,- Order status tracking,Database Schema,Review,Active,2025-05-26,2025-05-26
DB-SCHEMA-3,,Order Items Table,- Quantity and price validation,Database Schema,Review,Active,2025-05-26,2025-05-26
DB-SCHEMA-4,,2. Products Table,- Price and stock validation,Database Schema,Review,Active,2025-05-26,2025-05-26
DB-SCHEMA-5,,3. Orders Table,- Order status tracking,Database Schema,Review,Active,2025-05-26,2025-05-26
DB-SCHEMA-6,,4. Order Items Table,- Quantity and price validation,Database Schema,Review,Active,2025-05-26,2025-05-26
FRD-1,,Epic: System Administration (FRD-2.1),"- As an admin, I want to manage user accounts and permissions so that I can control system access",Functional Requirements Document,Review,Active,2025-05-26,2025-05-26
FRD-10,,Dashboard Features (FRD-8.1.1),- [ ] All widgets load within 2 seconds,Functional Requirements Document,Review,Active,2025-05-26,2025-05-26
FRD-11,,System Performance (FRD-8.2.1),- Page load time < 3 seconds,Functional Requirements Document,Review,Active,2025-05-26,2025-05-26
FRD-12,,Epic: System Administration (FRD-2.1),"- As an admin, I want to manage user accounts and permissions so that I can control system access",Functional Requirements Document,Review,Active,2025-05-26,2025-05-26
FRD-13,,Epic: Reporting and Analysis (FRD-2.2),"- As an analyst, I want to create custom reports so that I can analyze business metrics",Functional Requirements Document,Review,Active,2025-05-26,2025-05-26
FRD-14,,Epic: Team Management (FRD-2.3),"- As a manager, I want to view team dashboards so that I can monitor performance",Functional Requirements Document,Review,Active,2025-05-26,2025-05-26
FRD-15,,Dashboard Components (FRD-3.2.1),- Real-time metrics display,Functional Requirements Document,Review,Active,2025-05-26,2025-05-26
FRD-16,,Navigation Structure (FRD-4.1.1),- Responsive sidebar navigation,Functional Requirements Document,Review,Active,2025-05-26,2025-05-26
FRD-17,,Input Validation (FRD-4.2.1),- Real-time field validation,Functional Requirements Document,Review,Active,2025-05-26,2025-05-26
FRD-18,,Business Rules (FRD-5.2.1),- Email format validation,Functional Requirements Document,Review,Active,2025-05-26,2025-05-26
FRD-19,,Approval Process (FRD-6.1.1),1. Request submission,Functional Requirements Document,Review,Active,2025-05-26,2025-05-26
FRD-2,,Epic: Reporting and Analysis (FRD-2.2),"- As an analyst, I want to create custom reports so that I can analyze business metrics",Functional Requirements Document,Review,Active,2025-05-26,2025-05-26
FRD-20,,Metric Calculations (FRD-6.2.1),- Performance metrics formulas,Functional Requirements Document,Review,Active,2025-05-26,2025-05-26
